state;district;year;full_name;party;grade
CT;District 2;2016;Daria Novak;R;AQ
CT;District 2;2016;Joe Courtney;D;F
CT;District 3;2016;Rosa DeLauro;D;F
CT;District 3;2016;Angel Cadena;R;AQ
CT;District 4;2016;John Shaban;R;F
CT;District 4;2016;Jim Himes;D;F
CT;District 5;2016;Clay Cope;R;?
CT;District 5;2016;Elizabeth Esty;D;F
DE;At-Large;2016;Hans Reigle;R;AQ
DE;At-Large;2016;Lisa Blunt Rochester;D;F
FL;District 1;2016;Matt Gaetz;R;A+
FL;District 1;2016;Steven Specht;D;?
FL;District 10;2016;Val Demings;D;F
FL;District 10;2016;Thuy Lowe;R;?
FL;District 11;2016;Daniel Webster;R;A
FL;District 11;2016;Dave Koller;D;?
FL;District 12;2016;Gus Bilirakis;R;A
FL;District 12;2016;Robert Tager;D;?
FL;District 13;2016;Charlie Crist;D;F
FL;District 13;2016;David Jolly;R;?
FL;District 14;2016;Kathy Castor;D;F
FL;District 14;2016;Christine Quinn;R;?
FL;District 15;2016;Jim Lange;D;?
FL;District 15;2016;Dennis Ross;R;A
FL;District 16;2016;Jan Schneider;D;F
FL;District 16;2016;Vern Buchanan;R;A
FL;District 17;2016;Tom Rooney;R;A
FL;District 17;2016;April Freeman;D;F
FL;District 18;2016;Brian Mast;R;AQ
FL;District 18;2016;Randy Perkins;D;?
FL;District 19;2016;Robert Neeld;D;?
FL;District 19;2016;Francis Rooney;R;AQ
FL;District 2;2016;Neal Dunn;R;AQ
FL;District 2;2016;Walt Dartland;D;F
FL;District 20;2016;Gary Stein;R;?
FL;District 20;2016;Alcee Hastings;D;F
FL;District 21;2016;Lois Frankel;D;F
FL;District 21;2016;Paul Spain;R;AQ
FL;District 22;2016;Ted Deutch;D;F
FL;District 22;2016;Andrea Leigh McGee;R;?
FL;District 23;2016;Joe Kaufman;R;B
FL;District 23;2016;Debbie Wasserman Schultz;D;F
FL;District 24;2016;Frederica Wilson;D;F
FL;District 25;2016;Mario Diaz-Balart;R;A
FL;District 25;2016;Alina Valdes;D;F
FL;District 26;2016;Carlos Curbelo;R;B+
FL;District 26;2016;Joe Garcia;D;F
FL;District 27;2016;Ileana Ros-Lehtinen;R;A
FL;District 27;2016;Scott Fuhrman;D;F
FL;District 3;2016;Ken McGurn;D;?
FL;District 3;2016;Ted Yoho;R;A
FL;District 4;2016;John Rutherford;R;AQ
FL;District 4;2016;Dave Bruderly;D;?
FL;District 5;2016;Al Lawson;D;?
FL;District 5;2016;Glo Smith;R;AQ
FL;District 6;2016;Ron DeSantis;R;A
FL;District 6;2016;Bill McCullough;D;?
FL;District 7;2016;Stephanie Murphy;D;F
FL;District 7;2016;John Mica;R;A
FL;District 8;2016;Bill Posey;R;A
FL;District 8;2016;Corry Westbrook;D;?
FL;District 9;2016;Darren Soto;D;D
FL;District 9;2016;Wayne Liebnitzky;R;AQ
GA;District 1;2016;Buddy Carter;R;A
GA;District 10;2016;Jody Hice;R;A
GA;District 11;2016;Don Wilson;D;F
GA;District 11;2016;Barry Loudermilk;R;A
GA;District 12;2016;Rick Allen;R;A
GA;District 12;2016;Tricia Carpenter McCracken;D;?
GA;District 13;2016;David Scott;D;D
GA;District 14;2016;Tom Graves;R;A+
GA;District 2;2016;Sanford Bishop;D;A
GA;District 2;2016;Greg Duke;R;AQ
GA;District 3;2016;Angela Pendley;D;?
GA;District 3;2016;Drew Ferguson;R;AQ
GA;District 4;2016;Hank Johnson;D;F
GA;District 4;2016;Victor Armendariz;R;?
GA;District 5;2016;Douglas Bell;R;?
GA;District 5;2016;John Lewis;D;F
GA;District 6;2016;Rodney Stooksbury;D;?
GA;District 6;2016;Tom Price;R;A
GA;District 7;2016;Rashid Malik;D;F
GA;District 7;2016;Rob Woodall;R;B
GA;District 8;2016;Austin Scott;R;A
GA;District 8;2016;James Harris;D;?
GA;District 9;2016;Doug Collins;R;A
HI;District 1;2016;Colleen Hanabusa;D;F
HI;District 1;2016;Shirlene Ostrov;R;AQ
HI;District 2;2016;Tulsi Gabbard;D;F
HI;District 2;2016;Angela Kaaihue;R;?
IA;District 1;2016;Monica Vernon;D;D
IA;District 1;2016;Rod Blum;R;A
IA;District 2;2016;Christopher Peters;R;AQ
IA;District 2;2016;Dave Loebsack;D;F
IA;District 3;2016;David Young;R;A
IA;District 3;2016;Jim Mowrer;D;F
IA;District 4;2016;Steve King;R;A
